starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 10 00:03:58 2024	1712707438	0	184	184	169
Wed Apr 10 00:03:50 2024	1712707430	0	184	184	172
Wed Apr 10 00:04:02 2024	1712707442	0	184	184	172
Wed Apr 10 00:04:01 2024	1712707441	0	184	184	171
Wed Apr 10 00:03:52 2024	1712707432	0	184	184	170
Wed Apr 10 00:03:52 2024	1712707432	0	184	184	172
Wed Apr 10 00:03:48 2024	1712707428	1	183	184	170
Wed Apr 10 00:03:58 2024	1712707438	0	184	184	173
Wed Apr 10 00:03:49 2024	1712707429	0	184	184	172
Wed Apr 10 00:03:57 2024	1712707437	0	184	184	173
Wed Apr 10 00:04:02 2024	1712707442	0	184	184	172
Wed Apr 10 00:03:53 2024	1712707433	0	184	184	173
Wed Apr 10 00:03:52 2024	1712707432	0	184	184	172
Wed Apr 10 00:03:54 2024	1712707434	0	184	184	173
Wed Apr 10 00:03:52 2024	1712707432	0	184	184	172
Wed Apr 10 00:03:53 2024	1712707433	0	184	184	173
Wed Apr 10 00:03:50 2024	1712707430	0	184	184	170
Wed Apr 10 00:03:52 2024	1712707432	0	184	184	170
Wed Apr 10 00:03:52 2024	1712707432	0	184	184	172
Wed Apr 10 00:03:52 2024	1712707432	0	184	184	171
Wed Apr 10 00:04:01 2024	1712707441	0	184	184	172
Wed Apr 10 00:03:52 2024	1712707432	0	184	184	172
Wed Apr 10 00:03:49 2024	1712707429	0	184	184	173
Wed Apr 10 00:03:52 2024	1712707432	0	184	184	173
Wed Apr 10 00:03:54 2024	1712707434	0	184	184	172
Wed Apr 10 00:04:01 2024	1712707441	0	184	184	171
Wed Apr 10 00:03:54 2024	1712707434	0	184	184	171
Wed Apr 10 00:03:51 2024	1712707431	0	184	184	171
Wed Apr 10 00:04:01 2024	1712707441	0	184	184	174
Wed Apr 10 00:03:54 2024	1712707434	0	184	184	173
Wed Apr 10 00:03:56 2024	1712707436	0	184	184	173
Wed Apr 10 00:03:55 2024	1712707435	0	184	184	173
Wed Apr 10 00:03:53 2024	1712707433	0	184	184	173
Wed Apr 10 00:04:01 2024	1712707441	0	184	184	172
Wed Apr 10 00:03:51 2024	1712707431	0	184	184	174
Wed Apr 10 00:03:53 2024	1712707433	0	184	184	173
Wed Apr 10 00:03:53 2024	1712707433	0	184	184	173
Wed Apr 10 00:03:51 2024	1712707431	0	184	184	173
Wed Apr 10 00:03:50 2024	1712707430	0	184	184	172
Wed Apr 10 00:04:02 2024	1712707442	0	184	184	172
Wed Apr 10 00:04:01 2024	1712707441	0	184	184	172
Wed Apr 10 00:03:53 2024	1712707433	0	184	184	173
Wed Apr 10 00:04:01 2024	1712707441	0	184	184	173
Wed Apr 10 00:03:54 2024	1712707434	0	184	184	173
Wed Apr 10 00:03:53 2024	1712707433	0	184	184	173
Wed Apr 10 00:04:01 2024	1712707441	0	184	184	173
Wed Apr 10 00:03:58 2024	1712707438	0	184	184	171
Wed Apr 10 00:04:02 2024	1712707442	0	184	184	172
Wed Apr 10 00:03:51 2024	1712707431	0	184	184	171
